beneficiary_id,age,area_type,occupation,estimated_monthly_income,asset_score,business_years,residence_years,shg_member,dependents,proposed_emi,first_time_borrower,risk_score,risk_bucket
B01617,59,Semi-Urban,Delivery Worker,19724.0,1,13,20,1,2,6271,1,156.39450796310925,Low
B01618,46,Rural,Daily Wage Worker,10999.0,0,14,10,0,4,5253,1,80.11768784609674,High
B01619,35,Rural,Delivery Worker,18657.0,0,2,24,0,5,1684,0,59.027918597270265,High
B01620,54,Urban,Auto Driver,20871.35,0,2,7,1,4,1610,1,60.68273808278023,High
B01621,60,Rural,Small Retail Shop,22204.0,1,19,20,0,3,4828,0,152.36754385363446,Medium
B01622,31,Rural,Daily Wage Worker,9698.0,1,19,13,1,4,2265,0,152.75656776549826,Medium
B01623,23,Rural,Handloom Weaver,15884.0,0,12,29,0,3,6296,0,117.92771644323932,Medium
B01624,26,Urban,Garment Manufacturer,31338.649999999998,1,23,10,1,4,2186,1,186.61279754069304,Low
B01625,29,Rural,Daily Wage Worker,12623.0,0,17,9,1,5,3195,1,119.95220748258953,Medium
B01626,26,Semi-Urban,Daily Wage Worker,11414.0,0,2,7,0,4,2315,1,20.478127508797286,High
B01627,29,Semi-Urban,Street Vendor,15712.0,1,11,33,1,5,5042,1,158.89888914540458,Low
B01628,59,Rural,Handloom Weaver,15078.0,1,17,24,0,3,4730,1,144.2899639563745,Medium
B01629,51,Rural,Handloom Weaver,14338.0,1,14,16,0,4,5204,1,110.80309292080206,Medium
B01630,52,Urban,Delivery Worker,18102.149999999998,0,9,32,0,2,1344,0,116.105667004867,Medium
B01631,32,Urban,Small Retail Shop,22776.899999999998,2,19,4,1,5,2393,1,158.98208938179016,Low
B01632,28,Semi-Urban,Handloom Weaver,16265.0,0,19,14,0,1,1021,1,126.58378083424009,Medium
B01633,28,Semi-Urban,Tailor,13024.0,1,1,29,0,5,2216,1,73.80815053049386,High
B01634,48,Rural,Handloom Weaver,15565.0,0,5,22,0,4,2790,0,68.10833429752522,High
B01635,40,Urban,Tailor,18073.399999999998,0,19,23,1,5,5834,1,162.81670753781188,Low
B01636,27,Rural,Garment Manufacturer,29818.0,1,2,26,1,4,3198,1,122.79577055744465,Medium
B01637,31,Semi-Urban,Small Retail Shop,20539.0,1,14,26,0,3,2687,0,140.80052382923384,Medium
B01638,40,Urban,Agriculture,14334.749999999998,1,19,22,0,3,4366,1,149.26663001054706,Medium
B01639,36,Semi-Urban,Daily Wage Worker,10454.0,0,24,3,1,2,3134,1,147.7172478061818,Medium
B01640,24,Semi-Urban,Small Retail Shop,21754.0,1,8,17,0,1,6157,1,103.7717810561041,High
B01641,26,Semi-Urban,Delivery Worker,17629.0,2,17,14,1,3,5734,1,172.04362707230015,Low
B01642,42,Rural,Daily Wage Worker,12232.0,0,2,30,0,2,4246,0,74.50511801327484,High
B01643,46,Semi-Urban,Tailor,13471.0,0,17,13,1,1,5486,0,142.5115832552346,Medium
B01644,23,Rural,Milk Vendor,16534.0,1,8,26,0,2,6222,1,113.29335365497363,Medium
B01645,34,Semi-Urban,Small Retail Shop,19041.0,2,14,32,0,3,4499,1,166.26552435103272,Low
B01646,31,Rural,Delivery Worker,15559.0,0,17,34,1,1,1712,0,187.12496684285864,Low
B01647,38,Rural,Tailor,15224.0,0,6,23,1,3,5316,0,108.69793128526767,Medium
B01648,32,Semi-Urban,Delivery Worker,16800.0,1,11,34,0,4,6288,1,136.1671457260521,Medium
B01649,43,Urban,Delivery Worker,19332.649999999998,0,8,12,1,1,4497,0,106.39529948543979,Medium
B01650,32,Rural,Delivery Worker,19262.0,0,13,23,0,2,6679,0,117.68255653381928,Medium
B01651,33,Semi-Urban,Small Retail Shop,21828.0,1,8,28,1,4,5473,0,145.38764436398571,Medium
B01652,45,Semi-Urban,Milk Vendor,14617.0,0,7,19,0,2,4655,1,77.9545504857236,High
B01653,39,Urban,Tailor,16862.449999999997,0,24,34,0,3,6608,0,182.86383258962476,Low
B01654,56,Rural,Agriculture,9818.0,1,24,8,1,3,1405,1,169.12439624422075,Low
B01655,28,Semi-Urban,Tailor,12254.0,1,3,34,0,4,6310,1,95.20095647024382,High
B01656,49,Urban,Handloom Weaver,15334.099999999999,1,2,16,1,4,5279,0,87.90564873386153,High
B01657,52,Rural,Daily Wage Worker,9044.0,0,12,7,1,1,4606,0,103.73990589819972,High
B01658,38,Urban,Milk Vendor,17271.85,0,4,27,1,2,6147,0,112.89012650550816,Medium
B01659,26,Urban,Small Retail Shop,25949.749999999996,1,5,20,1,5,4081,0,116.74769836058441,Medium
B01660,38,Urban,Street Vendor,13327.349999999999,0,16,35,0,3,4891,0,145.66498699354472,Medium
B01661,39,Rural,Agriculture,13365.0,2,2,17,1,5,5202,0,99.6339992163655,High
B01662,42,Rural,Daily Wage Worker,11948.0,1,24,28,0,5,5407,1,173.45910961095797,Low
B01663,57,Urban,Street Vendor,14903.999999999998,2,24,8,1,4,1137,1,185.8365384469792,Low
B01664,52,Rural,Handloom Weaver,14078.0,0,13,4,1,2,4520,0,103.63635394516025,High
B01665,23,Semi-Urban,Tailor,13458.0,0,4,33,1,5,4501,1,110.66723927718675,Medium
B01666,48,Rural,Tailor,15282.0,1,5,22,0,2,2064,0,90.60409796126993,High
B01667,30,Rural,Milk Vendor,17256.0,1,12,31,0,4,3756,0,135.0230796584815,Medium
B01668,55,Rural,Small Retail Shop,18919.0,2,15,1,0,5,6931,1,101.69091781922906,High
B01669,49,Semi-Urban,Small Retail Shop,19831.0,2,5,14,1,5,6148,0,113.05464572458567,Medium
B01670,35,Rural,Daily Wage Worker,8359.0,0,5,7,1,3,3675,0,64.44584869372949,High
B01671,53,Semi-Urban,Auto Driver,17810.0,2,16,8,1,5,5145,0,148.78342204108085,Medium
B01672,27,Semi-Urban,Handloom Weaver,14719.0,0,9,8,1,1,5592,1,98.35069454783854,High
B01673,32,Semi-Urban,Auto Driver,14555.0,0,15,24,1,4,2043,1,146.87938825713834,Medium
B01674,50,Semi-Urban,Delivery Worker,19039.0,1,4,1,0,1,5798,1,50.8914904959061,High
B01675,41,Rural,Agriculture,13558.0,1,17,35,0,5,5103,0,158.38193942837862,Low
B01676,51,Rural,Tailor,13961.0,0,24,8,0,5,2752,0,120.96256877519536,Medium
B01677,44,Rural,Daily Wage Worker,8979.0,0,1,5,1,1,5800,1,50.765155562792884,High
B01678,40,Semi-Urban,Auto Driver,15997.0,0,16,32,0,3,2123,0,141.72393619405426,Medium
B01679,57,Semi-Urban,Milk Vendor,14188.0,1,23,1,0,3,2323,0,124.95302824168138,Medium
B01680,24,Rural,Garment Manufacturer,28242.0,2,20,2,1,1,5879,1,178.9547354658499,Low
B01681,48,Rural,Small Retail Shop,19715.0,2,17,15,1,1,2092,0,182.7960001591151,Low
B01682,40,Semi-Urban,Tailor,16338.0,1,4,9,1,4,5529,1,84.12391111273256,High
B01683,44,Rural,Daily Wage Worker,8256.0,0,23,12,1,3,3162,1,156.0372583870219,Low
B01684,52,Urban,Street Vendor,15597.449999999999,0,13,10,1,2,4452,0,117.20764212675105,Medium
B01685,56,Rural,Agriculture,12917.0,2,8,24,0,5,5800,0,109.84263154704108,Medium
B01686,54,Urban,Delivery Worker,22875.8,0,18,19,1,5,6959,1,154.4068441962767,Low
B01687,56,Rural,Milk Vendor,15597.0,0,13,17,0,1,3432,1,105.31898644701704,High
B01688,22,Rural,Handloom Weaver,14724.0,0,9,2,1,2,4686,1,83.00293010590438,High
B01689,35,Rural,Milk Vendor,16674.0,0,5,10,1,3,3930,1,79.34515263263614,High
B01690,54,Rural,Delivery Worker,15619.0,1,11,5,1,3,1664,1,110.1457335240614,Medium
B01691,56,Rural,Garment Manufacturer,26378.0,2,14,39,1,3,5380,1,217.01403545019173,Low
B01692,26,Rural,Handloom Weaver,13977.0,0,24,6,1,1,4778,1,161.46444704307845,Low
B01693,59,Semi-Urban,Handloom Weaver,14537.0,0,18,2,0,1,5596,0,96.29315482023922,High
B01694,32,Rural,Daily Wage Worker,11578.0,1,18,8,1,5,5369,0,136.91659286850265,Medium
B01695,23,Semi-Urban,Milk Vendor,16154.0,1,20,4,1,5,2396,1,141.73038894992595,Medium
B01696,38,Rural,Tailor,13632.0,1,16,31,1,3,3513,0,182.32288446784725,Low
B01697,60,Urban,Delivery Worker,19049.75,0,4,36,1,5,2464,1,122.23708586029288,Medium
B01698,41,Semi-Urban,Garment Manufacturer,29268.0,2,19,8,1,5,6211,1,173.3099610523072,Low
B01699,35,Rural,Garment Manufacturer,28547.0,1,5,31,1,3,4833,1,147.5541585194341,Medium
B01700,53,Rural,Small Retail Shop,21388.0,2,2,17,0,1,1532,1,91.5035846690342,High
B01701,55,Rural,Agriculture,13720.0,2,17,14,0,5,5292,1,131.39391313308894,Medium
B01702,46,Rural,Daily Wage Worker,10574.0,1,4,8,1,1,5254,1,86.78318505150318,High
B01703,28,Semi-Urban,Daily Wage Worker,9877.0,0,6,25,0,2,4180,1,80.74094535734153,High
B01704,56,Semi-Urban,Street Vendor,15631.0,0,22,14,0,1,4263,1,139.4479964450953,Medium
B01705,50,Urban,Daily Wage Worker,10335.05,2,18,23,1,4,4866,0,183.4217556491286,Low
B01706,43,Semi-Urban,Handloom Weaver,15747.0,0,6,17,1,4,4745,0,93.14470460479842,High
B01707,34,Urban,Street Vendor,16773.899999999998,1,20,12,0,3,3609,0,135.5282067836135,Medium
B01708,34,Urban,Garment Manufacturer,33920.399999999994,1,15,20,0,4,5478,0,143.37872181477536,Medium
B01709,22,Urban,Tailor,14301.4,0,1,34,1,2,4780,1,110.00222286928839,Medium
B01710,57,Rural,Auto Driver,17721.0,0,17,11,1,1,3457,1,143.4208926672924,Medium
B01711,25,Rural,Agriculture,12789.0,2,2,27,1,1,6167,1,133.21134079787785,Medium
B01712,58,Rural,Agriculture,10199.0,2,4,9,1,5,6090,0,89.36841517932343,High
B01713,34,Semi-Urban,Tailor,13108.0,0,24,18,0,5,5435,1,139.67439427445197,Medium
B01714,59,Rural,Tailor,12107.0,0,3,38,1,5,4204,0,115.03312261757995,Medium
B01715,45,Rural,Auto Driver,18247.0,1,21,36,1,1,1395,0,226.39509346730063,Low
B01716,40,Rural,Small Retail Shop,19992.0,2,3,28,0,1,1524,0,116.19177817968904,Medium
B01717,22,Rural,Milk Vendor,17318.0,0,24,20,0,5,5442,1,148.54681575489045,Medium
B01718,59,Semi-Urban,Agriculture,10305.0,1,14,29,0,1,6647,1,143.29765891325226,Medium
B01719,26,Rural,Small Retail Shop,21600.0,0,20,4,1,2,4506,1,143.3780136480031,Medium
B01720,37,Semi-Urban,Daily Wage Worker,12399.0,0,8,15,1,5,1835,0,91.06344213668424,High
B01721,45,Semi-Urban,Tailor,12083.0,1,8,28,0,4,3961,0,105.93965996437316,Medium
B01722,48,Rural,Street Vendor,14320.0,2,9,24,0,5,5844,0,115.62418098466026,Medium
B01723,22,Semi-Urban,Small Retail Shop,20456.0,0,18,37,0,4,6778,1,161.97734669510092,Low
B01724,55,Semi-Urban,Small Retail Shop,21062.0,1,7,16,0,3,2616,0,89.17554775622149,High
B01725,57,Rural,Agriculture,14490.0,2,10,22,0,4,5294,1,119.84107249701587,Medium
B01726,25,Rural,Garment Manufacturer,25387.0,1,1,17,0,2,6012,0,72.24742760300569,High
B01727,21,Rural,Street Vendor,13003.0,0,4,1,1,1,5276,1,60.46985313699598,High
B01728,60,Semi-Urban,Milk Vendor,14040.0,1,20,31,1,2,2677,0,204.87101886011777,Low
B01729,32,Semi-Urban,Daily Wage Worker,12437.0,0,4,25,0,3,4714,1,69.99479568941042,High
B01730,56,Rural,Auto Driver,14301.0,1,23,12,0,2,6471,0,150.08665073163425,Medium
B01731,43,Rural,Delivery Worker,17019.0,0,14,20,1,2,6640,0,143.22572452191173,Medium
B01732,51,Rural,Garment Manufacturer,29161.0,0,5,19,0,3,6386,1,79.47990260674915,High
B01733,31,Semi-Urban,Agriculture,11332.0,1,5,5,0,2,2430,0,51.84511520741245,High
B01734,30,Rural,Garment Manufacturer,28678.0,0,19,15,0,3,2693,0,134.46010828189495,Medium
B01735,23,Semi-Urban,Street Vendor,14781.0,0,21,25,0,1,6038,1,155.91938610131012,Low
B01736,34,Rural,Handloom Weaver,14478.0,0,5,35,0,5,6238,0,89.6807259249683,High
B01737,36,Semi-Urban,Milk Vendor,15493.0,2,24,3,1,1,1260,1,186.64908057232827,Low
B01738,30,Semi-Urban,Daily Wage Worker,11795.0,0,11,18,0,1,6661,1,94.42543389312807,High
B01739,49,Semi-Urban,Garment Manufacturer,26238.0,2,2,22,0,1,1602,1,106.56414683646777,Medium
B01740,30,Rural,Milk Vendor,16756.0,0,15,16,0,2,3972,0,109.39308517397245,Medium
B01741,32,Semi-Urban,Delivery Worker,17428.0,0,14,15,0,1,1172,0,107.1480809585905,Medium
B01742,50,Rural,Daily Wage Worker,8543.0,0,14,5,1,3,1357,0,101.91921698057382,High
B01743,21,Rural,Delivery Worker,15092.0,0,8,13,1,3,3805,1,97.25813540825548,High
B01744,25,Semi-Urban,Small Retail Shop,20445.0,2,20,28,0,3,4718,1,186.02394830609566,Low
B01745,40,Semi-Urban,Garment Manufacturer,29533.0,1,8,10,1,3,5751,1,120.12698525220439,Medium
B01746,28,Semi-Urban,Delivery Worker,18032.0,0,5,16,1,1,3648,1,99.5654074901348,High
B01747,32,Rural,Milk Vendor,15789.0,1,5,2,1,4,6079,1,74.03964911335501,High
B01748,21,Semi-Urban,Handloom Weaver,17438.0,0,14,36,0,5,1680,1,135.5813517895291,Medium
B01749,40,Semi-Urban,Auto Driver,17234.0,0,5,25,0,4,2215,0,76.41197373489076,High
B01750,48,Urban,Tailor,15102.949999999999,0,9,5,1,2,3738,1,89.1749403275888,High
B01751,57,Semi-Urban,Handloom Weaver,15773.0,1,22,28,0,1,5628,1,183.15435756145672,Low
B01752,57,Semi-Urban,Agriculture,11562.0,0,11,17,0,4,6226,0,81.95891501013881,High
B01753,32,Rural,Handloom Weaver,16014.0,0,17,2,1,1,1744,0,123.61957439910792,Medium
B01754,57,Semi-Urban,Delivery Worker,19950.0,0,12,15,1,3,1942,1,124.18128894949498,Medium
B01755,48,Semi-Urban,Agriculture,10378.0,2,12,38,0,2,6770,1,163.84045291065,Low
B01756,35,Urban,Handloom Weaver,19445.35,0,24,29,1,4,1711,1,201.714682672913,Low
B01757,26,Rural,Tailor,16736.0,0,16,23,1,5,3925,0,147.87224908486957,Medium
B01758,40,Rural,Milk Vendor,15845.0,1,1,18,0,3,2669,1,61.66013029935743,High
B01759,34,Rural,Auto Driver,15329.0,1,18,14,0,3,2252,0,129.0915800472455,Medium
B01760,22,Semi-Urban,Delivery Worker,18341.0,0,6,32,0,2,6322,1,102.9669274274728,High
B01761,29,Urban,Garment Manufacturer,32339.149999999998,2,5,6,0,3,6801,1,86.96170078012553,High
B01762,57,Rural,Daily Wage Worker,9403.0,0,18,28,0,3,6898,1,136.82181510495107,Medium
B01763,40,Semi-Urban,Street Vendor,12981.0,1,13,18,0,4,1695,1,109.24028355704601,Medium
B01764,46,Semi-Urban,Garment Manufacturer,26792.0,2,6,35,0,3,1205,0,144.10330804217224,Medium
B01765,49,Semi-Urban,Small Retail Shop,20231.0,0,7,38,0,2,2634,0,121.30193838374699,Medium
B01766,21,Rural,Delivery Worker,15204.0,0,3,4,0,1,1901,0,33.93169621040601,High
B01767,55,Semi-Urban,Daily Wage Worker,12920.0,1,11,31,0,2,5863,0,132.66481220450217,Medium
B01768,26,Rural,Milk Vendor,15815.0,0,8,11,0,2,4120,0,67.39466603977104,High
B01769,57,Semi-Urban,Small Retail Shop,19598.0,1,4,11,0,1,3208,1,71.7603011587158,High
B01770,25,Rural,Street Vendor,15262.0,0,10,29,1,4,6258,0,135.09580178231286,Medium
B01771,53,Rural,Delivery Worker,15089.0,1,9,19,0,5,2946,0,91.25470181104801,High
B01772,34,Semi-Urban,Garment Manufacturer,27263.0,2,23,17,0,5,1925,0,177.5897568584331,Low
B01773,32,Rural,Handloom Weaver,14209.0,1,13,4,1,2,5600,0,119.5004352559638,Medium
B01774,40,Rural,Garment Manufacturer,29856.0,2,19,4,0,4,1685,0,139.7902353130953,Medium
B01775,44,Semi-Urban,Garment Manufacturer,26359.0,2,15,12,0,4,4353,1,134.34344290626944,Medium
B01776,54,Semi-Urban,Street Vendor,15810.0,0,5,7,0,4,1667,0,38.929286056105894,High
B01777,45,Semi-Urban,Delivery Worker,16717.0,1,13,21,1,4,3408,1,148.94420963133842,Medium
B01778,49,Rural,Delivery Worker,17405.0,0,12,33,1,2,1671,0,160.6932855094695,Low
B01779,59,Rural,Agriculture,11863.0,1,9,37,0,3,4273,1,131.72691979278383,Medium
B01780,51,Rural,Garment Manufacturer,28107.0,2,24,12,0,5,2035,0,172.97117763037463,Low
B01781,43,Rural,Milk Vendor,13951.0,1,8,7,1,5,1251,1,91.71187212305337,High
B01782,58,Urban,Daily Wage Worker,11310.25,0,9,15,0,1,1374,1,79.00980820927009,High
B01783,40,Rural,Daily Wage Worker,10588.0,1,21,37,1,2,5081,1,217.44786250498098,Low
B01784,43,Rural,Small Retail Shop,20948.0,0,13,9,0,5,4050,1,80.45435245662634,High
B01785,36,Rural,Street Vendor,14709.0,0,9,33,0,2,2109,0,114.53929974130189,Medium
B01786,28,Rural,Garment Manufacturer,26289.0,2,6,38,0,2,2679,1,153.14248030367685,Medium
B01787,41,Semi-Urban,Milk Vendor,15597.0,0,6,16,0,4,2790,1,61.09665987037377,High
B01788,21,Semi-Urban,Small Retail Shop,19465.0,2,11,31,0,1,3001,0,157.53041628007674,Low
B01789,28,Rural,Delivery Worker,18716.0,0,10,15,1,2,1582,0,116.77270818204119,Medium
B01790,49,Rural,Daily Wage Worker,8650.0,1,14,2,0,5,5787,1,73.51483081438973,High
B01791,52,Rural,Tailor,13210.0,0,6,13,0,5,5195,1,49.11760031638927,High
B01792,58,Semi-Urban,Agriculture,13320.0,0,7,5,0,1,1897,0,51.35738343058795,High
B01793,25,Semi-Urban,Milk Vendor,15771.0,0,9,33,1,2,2259,0,146.12344011301667,Medium
B01794,42,Rural,Small Retail Shop,21450.0,2,3,32,0,4,3909,0,115.45658502942545,Medium
B01795,54,Rural,Small Retail Shop,22354.0,2,12,21,0,1,2179,1,145.4018531462795,Medium
B01796,21,Semi-Urban,Milk Vendor,16360.0,1,16,2,0,2,3237,1,101.01180384015352,High
B01797,46,Urban,Handloom Weaver,14969.55,0,13,36,0,1,2692,1,142.18713253547563,Medium
B01798,30,Urban,Tailor,15704.4,0,6,33,1,4,3549,1,125.22732909562627,Medium
B01799,50,Rural,Delivery Worker,16596.0,0,13,11,0,3,1377,0,86.81885965207697,High
B01800,38,Rural,Daily Wage Worker,8267.0,1,5,23,0,3,4035,0,81.68228982328475,High
B01801,37,Rural,Garment Manufacturer,27497.0,2,4,38,1,3,4944,1,171.62383745776734,Low
B01802,46,Semi-Urban,Milk Vendor,15708.0,1,8,33,0,4,1536,1,118.94385957633854,Medium
B01803,28,Urban,Street Vendor,17224.699999999997,1,3,8,1,4,5566,1,78.60827803135479,High
B01804,60,Rural,Tailor,14231.0,2,2,36,1,1,4064,0,152.02469789499912,Medium
B01805,32,Rural,Agriculture,10240.0,2,20,36,0,5,5809,0,185.04374658041223,Low
B01806,47,Rural,Agriculture,10304.0,1,19,33,0,4,6160,0,163.72513614721214,Low
B01807,28,Rural,Street Vendor,15977.0,1,7,29,1,4,6764,0,136.86619582889816,Medium
B01808,45,Rural,Tailor,13726.0,1,12,31,0,3,1758,1,134.36254118509115,Medium
B01809,24,Semi-Urban,Small Retail Shop,21512.0,2,4,30,0,3,3676,0,119.43956058919382,Medium
B01810,53,Rural,Agriculture,13305.0,0,10,8,0,3,1480,1,64.14404743933075,High
B01811,21,Rural,Small Retail Shop,20983.0,2,9,26,0,5,3287,0,126.47813688289683,Medium
B01812,39,Semi-Urban,Handloom Weaver,16383.0,0,12,23,0,3,2469,1,106.49567139659679,Medium
B01813,51,Rural,Tailor,15099.0,0,11,26,0,3,4190,1,106.42867182922134,Medium
B01814,36,Rural,Milk Vendor,17478.0,2,21,38,0,5,1360,1,201.1892173684669,Low
B01815,34,Rural,Garment Manufacturer,25534.0,2,19,39,1,3,2668,0,238.83677762891878,Low
B01816,25,Urban,Daily Wage Worker,9526.599999999999,0,2,2,0,1,5163,1,19.865257867712337,High
B01817,46,Semi-Urban,Handloom Weaver,16786.0,0,6,26,0,1,1420,1,93.24809948770073,High
B01818,48,Rural,Small Retail Shop,22141.0,1,6,18,0,2,1125,1,93.15467899270463,High
B01819,22,Semi-Urban,Tailor,12536.0,0,1,27,0,1,3776,1,67.65244553676781,High
B01820,26,Rural,Handloom Weaver,15383.0,0,7,17,0,5,6151,0,63.893059583365215,High
B01821,29,Semi-Urban,Small Retail Shop,22804.0,0,12,15,0,3,5877,0,96.92701152387463,High
B01822,53,Semi-Urban,Garment Manufacturer,28269.0,2,21,7,0,2,5570,0,160.67958218831802,Low
B01823,45,Urban,Garment Manufacturer,32520.85,2,23,17,1,4,4262,0,216.65134710377117,Low
B01824,33,Rural,Street Vendor,14498.0,1,12,19,0,4,6243,0,108.36229615784055,Medium
B01825,29,Urban,Delivery Worker,18153.899999999998,0,20,27,0,1,3503,0,159.1762467676324,Low
B01826,33,Urban,Agriculture,15373.199999999999,2,21,17,1,2,3333,0,197.56283447329548,Low
B01827,51,Urban,Garment Manufacturer,31853.85,2,23,32,0,4,1479,0,216.27736334410938,Low
B01828,31,Semi-Urban,Auto Driver,17620.0,0,6,16,0,4,1244,0,63.29747150742511,High
B01829,24,Rural,Garment Manufacturer,26078.0,2,14,30,1,4,5778,1,195.56065997298987,Low
B01830,54,Rural,Handloom Weaver,16646.0,0,17,14,0,1,3228,0,118.238877464389,Medium
B01831,58,Rural,Daily Wage Worker,10193.0,0,17,18,1,1,2225,1,149.62329272687074,Medium
B01832,24,Rural,Tailor,16563.0,1,18,22,0,2,5038,0,149.713050193131,Medium
B01833,58,Semi-Urban,Handloom Weaver,16006.0,0,13,16,1,1,4058,1,133.77615612335967,Medium
B01834,39,Semi-Urban,Delivery Worker,18414.0,0,13,16,0,1,6296,0,105.828453814815,Medium
B01835,26,Urban,Garment Manufacturer,31884.899999999998,2,11,26,1,5,1503,0,175.9796757601607,Low
B01836,54,Rural,Milk Vendor,13257.0,0,3,6,1,1,6754,0,65.96097873996112,High
B01837,38,Rural,Tailor,13119.0,0,17,7,0,2,2113,1,97.38304714752263,High
B01838,33,Semi-Urban,Handloom Weaver,17929.0,0,2,9,1,1,3467,0,71.53427575558986,High
B01839,43,Rural,Auto Driver,18494.0,0,2,26,0,1,2779,1,76.44987286901247,High
B01840,39,Rural,Daily Wage Worker,10649.0,0,7,2,1,5,1638,1,59.13028116987374,High
B01841,31,Urban,Agriculture,12787.999999999998,1,22,36,1,2,3330,1,222.02251008600362,Low
B01842,21,Semi-Urban,Tailor,14595.0,2,10,3,1,4,1440,0,112.39417160540101,Medium
B01843,44,Rural,Delivery Worker,19172.0,0,14,21,0,5,2691,0,107.20275287557648,Medium
B01844,27,Semi-Urban,Milk Vendor,13949.0,0,21,3,1,1,5205,0,141.52132641550108,Medium
B01845,45,Semi-Urban,Auto Driver,15017.0,1,19,9,1,3,5598,1,153.37497505930455,Medium
B01846,41,Semi-Urban,Agriculture,10018.0,2,17,12,0,5,2835,0,123.26350208174964,Medium
B01847,35,Semi-Urban,Small Retail Shop,20772.0,0,16,8,0,5,3474,1,92.0741724086721,High
B01848,21,Rural,Daily Wage Worker,8973.0,1,17,37,1,2,5662,0,198.0059212072069,Low
B01849,32,Semi-Urban,Agriculture,11910.0,1,18,21,1,4,2018,0,166.15088679460138,Low
B01850,27,Rural,Garment Manufacturer,26800.0,2,11,37,1,4,2111,1,196.7261027220518,Low
B01851,35,Rural,Street Vendor,11569.0,0,19,3,0,4,5200,1,89.62479351557234,High
B01852,41,Urban,Milk Vendor,16535.85,0,11,21,0,5,6018,0,91.09100718619773,High
B01853,39,Semi-Urban,Auto Driver,17319.0,0,10,26,1,3,4712,0,134.37673319203097,Medium
B01854,49,Semi-Urban,Agriculture,9887.0,2,14,24,0,2,5617,0,144.0561074244941,Medium
B01855,45,Semi-Urban,Street Vendor,15854.0,0,14,34,0,3,5989,1,136.90886322187802,Medium
B01856,53,Urban,Agriculture,11517.25,1,10,32,1,4,4626,0,151.86299823812342,Medium
B01857,52,Urban,Handloom Weaver,18273.5,0,21,27,0,5,6954,1,149.84058714982578,Medium
B01858,55,Rural,Small Retail Shop,18722.0,2,23,30,0,4,1513,0,198.8884882739491,Low
B01859,58,Rural,Daily Wage Worker,9908.0,1,4,4,0,3,4126,1,40.63846540337251,High
B01860,46,Rural,Small Retail Shop,21015.0,0,10,2,0,4,5636,0,56.13561630658541,High
B01861,31,Rural,Handloom Weaver,17087.0,2,6,23,1,1,3308,1,147.19139827150866,Medium
B01862,55,Rural,Agriculture,11467.0,0,22,4,1,2,2399,1,142.16001458916278,Medium
B01863,28,Semi-Urban,Tailor,15038.0,0,11,37,1,3,2985,1,158.90392662961906,Low
B01864,34,Semi-Urban,Street Vendor,13300.0,2,18,11,0,1,1550,0,143.04600163799194,Medium
B01865,30,Urban,Milk Vendor,17455.85,1,6,36,1,4,2174,1,147.5797898028949,Medium
B01866,22,Semi-Urban,Delivery Worker,18106.0,0,21,36,1,2,1734,1,208.5794600556246,Low
B01867,29,Semi-Urban,Street Vendor,11196.0,0,15,15,1,2,3299,1,131.73601232570581,Medium
B01868,23,Rural,Small Retail Shop,19389.0,1,6,37,1,2,6903,0,158.80517973093234,Low
B01869,41,Rural,Street Vendor,14558.0,0,20,3,0,5,6525,1,93.55139804221861,High
B01870,46,Rural,Garment Manufacturer,27990.0,1,1,30,1,2,6850,1,131.2007461916757,Medium
B01871,28,Semi-Urban,Agriculture,11169.0,2,9,23,0,1,1924,1,124.98026591658665,Medium
B01872,22,Rural,Handloom Weaver,15726.0,0,14,33,0,3,4012,1,134.78361388063615,Medium
B01873,26,Semi-Urban,Street Vendor,15132.0,0,3,1,0,1,3803,0,27.160869240167933,High
B01874,48,Semi-Urban,Street Vendor,12586.0,0,1,1,0,4,2163,0,6.084147803552516,High
B01875,49,Rural,Handloom Weaver,17402.0,0,14,3,1,5,1633,1,99.54178731805965,High
B01876,46,Rural,Garment Manufacturer,27226.0,1,14,9,1,5,6245,0,136.55757835015856,Medium
B01877,45,Rural,Garment Manufacturer,28736.0,1,4,32,1,4,5999,0,142.1505668536583,Medium
B01878,32,Rural,Delivery Worker,16542.0,1,14,13,1,3,5247,0,140.09422903250064,Medium
B01879,25,Semi-Urban,Delivery Worker,18706.0,1,23,31,1,5,2828,1,211.7886781948372,Low
B01880,54,Semi-Urban,Garment Manufacturer,28549.0,2,4,21,1,4,1675,0,135.32009420351244,Medium
B01881,57,Semi-Urban,Tailor,16892.0,0,11,23,0,4,6134,1,98.60452507924242,High
B01882,35,Semi-Urban,Delivery Worker,18136.0,0,20,13,1,4,2338,0,150.99232400736463,Medium
B01883,56,Semi-Urban,Garment Manufacturer,29548.0,2,9,26,1,4,2773,0,168.30038055269816,Low
B01884,35,Urban,Garment Manufacturer,29738.999999999996,2,11,25,1,2,2796,1,182.4981862088999,Low
B01885,43,Rural,Street Vendor,15914.0,0,15,8,1,3,2499,0,119.01186238821589,Medium
B01886,26,Semi-Urban,Delivery Worker,16879.0,0,6,30,0,4,3449,1,90.0194534840073,High
B01887,41,Rural,Agriculture,10148.0,2,12,5,0,2,2749,0,97.27517876024713,High
B01888,43,Rural,Handloom Weaver,17660.0,1,13,24,0,2,3692,0,132.20217550285824,Medium
B01889,36,Rural,Handloom Weaver,13820.0,0,18,10,0,1,6973,0,111.55680648030098,Medium
